,speech_number,type,position,sentiment_blob
6,52,Great Speech,6,0.009728234728234742
7,52,Great Speech,7,0.1271619047619048
8,52,Great Speech,8,-0.1708333333333333
9,52,Great Speech,9,-0.037500000000000006
0,53,Great Speech,0,0.37333333333333335
1,53,Great Speech,1,0.06428571428571428
2,53,Great Speech,2,0.0
3,53,Great Speech,3,-0.16666666666666666
4,53,Great Speech,4,0.3738095238095238
5,53,Great Speech,5,0.012804232804232818
6,53,Great Speech,6,-0.2416666666666667
7,53,Great Speech,7,0.10332142857142859
8,53,Great Speech,8,-0.1
9,53,Great Speech,9,0.014492753623188389
0,54,Great Speech,0,0.21804494525082768
1,54,Great Speech,1,0.15422707137823416
2,54,Great Speech,2,0.1666905605217294
3,54,Great Speech,3,0.10467687074829932
4,54,Great Speech,4,0.048490698490698494
5,54,Great Speech,5,0.2844212804739121
6,54,Great Speech,6,0.0038548752834467194
7,54,Great Speech,7,0.17930194805194805
8,54,Great Speech,8,0.1615079365079365
9,54,Great Speech,9,0.1926282051282051
0,55,Great Speech,0,0.0
1,55,Great Speech,1,0.10684523809523808
2,55,Great Speech,2,-0.16346153846153846
3,55,Great Speech,3,0.305
4,55,Great Speech,4,0.12280986557302348
5,55,Great Speech,5,0.13267045454545454
6,55,Great Speech,6,-0.0197278911564626
7,55,Great Speech,7,0.13992936887673726
8,55,Great Speech,8,0.19142857142857145
9,55,Great Speech,9,0.19625496031746034
0,56,Great Speech,0,-0.5
1,56,Great Speech,1,0.06
2,56,Great Speech,2,0.004761904761904768
3,56,Great Speech,3,0.1866666666666667
4,56,Great Speech,4,0.16666666666666666
5,56,Great Speech,5,-1.0
6,56,Great Speech,6,0.11111111111111112
7,56,Great Speech,7,0.0
8,56,Great Speech,8,0.0
9,56,Great Speech,9,-0.05469696969696969
0,57,Great Speech,0,0.2976190476190476
1,57,Great Speech,1,0.3083333333333333
2,57,Great Speech,2,0.10773809523809524
3,57,Great Speech,3,0.2576923076923077
4,57,Great Speech,4,0.06387043189368771
5,57,Great Speech,5,0.1207142857142857
6,57,Great Speech,6,-0.033993783993784006
7,57,Great Speech,7,-0.12708333333333333
8,57,Great Speech,8,0.056530612244897964
9,57,Great Speech,9,0.026380952380952383
0,58,Great Speech,0,0.14042207792207792
1,58,Great Speech,1,-0.09000000000000001
2,58,Great Speech,2,0.18727272727272729
3,58,Great Speech,3,0.1767255892255892
4,58,Great Speech,4,0.32418831168831164
5,58,Great Speech,5,0.028070175438596502
6,58,Great Speech,6,0.09201101928374657
